description,localAbbreviation,domain,isActive,sortOrder,localization:en,localization:fr
Sputum,Sputum,H,Y,20,Sputum,Crachat
Respiratory Swab,Resp Swab,H,Y,21,Respiratory Swab,Écouvillon Respiratoire
